"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","196","nullSir Chotu Ram Marg, Pocket 4, Sector 6C, Rohini, Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",2748,1757,4297
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","197","177-B, Mayur Vihar Phase 2, Pocket B, Mayur Vihar, New Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",1843,1275,2663
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","198","Gouri Sankar Road, Railway Colony, Mandawali, New Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",1782,1224,2592
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","199","0 Shivaji Marg, New Moti Nagar, Najafgarh Road Industrial Area, Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",1491,877,2534
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","200","Dabri - Gurgaon Road, Pocket 2, Sector 1 Dwarka, Dwarka, New Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",2516,1800,3516
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","201","nullGali Number 2, Block D, Uttam Nagar, Sagar Pur, New Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",2409,1676,3461
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","202","A12/481, Madan Puri, West Sagarpur, Sagar Pur, New Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",2386,1619,3514
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","203","Shahid Hav. Ved Prakash Sharma Marg, Netaji Subhash Vihar, Mundka, Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",3369,2176,5214
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","204","0 East Patel Nagar Road, Block 10A, East Patel Nagar, Patel Nagar, New Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",953,518,1749
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","205","2100 Gali Number 14, Block B, Prem Nagar, Patel Nagar, New Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",1228,696,2166
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","206","0 Arya Samaj Road, Block 12B, Dev Nagar, Karol Bagh, New Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",1048,599,1832
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","207","0 Maharana Pratap Road, Block 53, Karol Bagh, New Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",735,393,1371
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","208","Desh Bandhu Gupta Road, Block E, Jhandewalan Extension, Jhandewalan, New Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",383,174,839
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","209","nullMaharaja Agarsen Marg, Block A, CC Colony, Kalyan Vihar, नई दिल्ली","12/1/2018 - 12/31/2018, Every day, Daily Average",1546,963,2480
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","210","Unnamed Road, Bakhtawar Pur, Bakhtawarpur, Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",3632,2720,4848
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","211","Holambi Main Road, Iradat Nagar, Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",3548,2575,4888
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","212","Bawana Road, Sector 30, Rohini, Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",3144,2047,4828
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","213","Lampur Road, Om Vihar Colony, Bankner, Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",4087,3337,5005
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","214","Doctor Bhim Rao Ambedkar Marg, Block H, Malka Ganj, Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",1028,632,1671
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","215","Unnamed Road, Bagiabad, Jharoda Majra Burari, Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",2254,1619,3136
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","216","0 Main Canal Road, Harit Vihar, Mukandpur Part 2, Mukundpur, Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",2510,1749,3600
